date	iso2c	res	exr	d_exr	capital_gains
2011-01-01	MU	2778.66678778153	29.3262	-1.0645999999999987	-2769.4795308636717
2012-01-01	MU	3046.3220003048	30.5248	1.198599999999999	3330.5100118349387
2013-01-01	MU	3491.00928152739	30.0792	-0.4455999999999989	-1357.4410833358154
2014-01-01	MU	3919.07156878185	31.7281	1.6489000000000011	5756.325204310518
2015-01-01	MU	4260.34350626905	35.8887	4.160599999999999	16305.689169073761
2016-01-01	MU	4967.23335994424	36.0101	0.12140000000000128	517.2057016610681
2017-01-01	MU	5984.33157726396	33.4838	-2.526299999999999	-12548.721637227129
2018-01-01	MU	6353.03854370215	34.2488	0.7650000000000006	4578.013656606932
2019-01-01	MU	7363.28136379415	36.6001	2.351299999999995	14937.899527806832
2002-01-01	MX	50671.6017597124	10.3125	NA	NA
2003-01-01	MX	59026.3186444202	11.236	0.9235000000000007	46795.22422509443
2004-01-01	MX	64201.8045674203	11.2648	0.028799999999998604	1699.9579769592194
2005-01-01	MX	74110.0841722901	10.7777	-0.48709999999999987	-31272.699004790422
2006-01-01	MX	76329.1542448082	10.881	0.10330000000000084	7655.571694997629
2007-01-01	MX	87208.2651606251	10.8662	-0.014800000000001035	-1129.6714828232405
2008-01-01	MX	95297.7296506417	13.5383	2.6721000000000004	233029.20533570636
2009-01-01	MX	99891.6034861711	13.0587	-0.4795999999999996	-45704.79114044772
2010-01-01	MX	120587.04191961	12.3571	-0.7015999999999991	-70083.94900589755
2011-01-01	MX	149208.099626297	13.9904	1.6332999999999984	196954.81556729882
2012-01-01	MX	167049.756531131	13.0101	-0.9802999999999997	-146268.7000636589
2013-01-01	MX	180200.019048727	13.0765	0.06639999999999979	11092.103833667063
2014-01-01	MX	195681.630239328	14.718	1.6415000000000006	295798.33126848546
2015-01-01	MX	177596.624348136	17.2065	2.4884999999999984	486953.7368505674
2016-01-01	MX	178024.772283593	20.7314	3.5249000000000024	626010.341164745
2017-01-01	MX	175448.409908893	19.7867	-0.944700000000001	-168180.00237631047
2018-01-01	MX	176380.044326515	19.6829	-0.10379999999999967	-18211.544948543036
2019-01-01	MX	183024.25118451	18.8452	-0.8377000000000017	-147753.5631323219
2002-01-01	MY	33655.8658879318	3.8	NA	NA
2003-01-01	MY	44116.2059909861	3.8	0	0
2004-01-01	MY	66175.5868842326	3.8	0	0
